City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,luderitz,-26.6481,15.1594,18.2,18.2,17,8.17,NA,1675829746
141,naze,28.3667,129.4833,17.51,17.51,86,6.54,JP,1675829908
142,vanimo,-2.6741,141.3028,25.43,25.43,100,4.05,PG,1675830041
143,port elizabeth,-33.918,25.5701,19.62,19.5,100,1.79,ZA,1675829515
144,avarua,-21.2078,-159.775,29.03,29.03,46,5.14,CK,1675829742
145,morros,-9.4467,-46.3003,22.39,22.39,83,1.47,BR,1675829851
146,jieshi,22.8134,115.8257,19.99,19.99,37,10.34,CN,1675830101
147,mpika,-11.8343,31.4529,15.88,15.88,100,4.48,ZM,1675830101
148,toropets,56.4978,31.6353,-7.32,-7.32,100,2.29,RU,1675830102
149,sinop,41.7711,34.8709,-2.71,-2.71,100,6.12,TR,1675830074
150,victoria,22.2855,114.1577,20.54,18.3,96,5.81,HK,1675829503
151,aklavik,68.2191,-135.0107,-28.96,-28.96,100,3.53,CA,1675830012
152,portland,45.5234,-122.6762,7.66,3.85,0,2.68,US,1675829518
153,saskylakh,71.9167,114.0833,-33.95,-33.95,100,0.53,RU,1675829734
154,leningradskiy,69.3833,178.4167,-31.97,-31.97,100,2.13,RU,1675829837
155,sabha,27.0377,14.4283,11.01,11.01,97,6.02,LY,1675830104
156,kambove,-10.8764,26.5969,15.02,15.02,100,1.44,CD,1675830105
157,bethel,41.3712,-73.414,3.2,-0.53,75,0.0,US,1675829555
158,sola,-13.8833,167.55,27.88,27.88,97,6.02,VU,1675829837
159,langres,47.8333,5.3333,-2.71,-2.71,2,1.86,FR,1675830105
160,kostino,58.9097,53.2691,-12.27,-12.27,98,3.73,RU,1675830106
161,poum,-20.2333,164.0167,26.94,26.94,100,8.94,NC,1675829893
162,ilulissat,69.2167,-51.1,-26.99,-26.99,75,2.57,GL,1675829630
163,tasiilaq,65.6145,-37.6368,-17.91,-17.91,0,9.77,GL,1675829760
164,sadovyy,53.3,34.3333,-15.69,-15.84,64,0.0,RU,1675830107
165,saint-philippe,-21.3585,55.7679,27.77,27.77,84,5.72,RE,1675829750
166,balkanabat,39.5108,54.3671,8.02,8.02,100,4.8,TM,1675830089
167,raha,26.2333,92.5167,21.35,21.35,37,3.07,IN,1675829718
168,lebu,-37.6167,-73.65,14.8,14.8,0,7.74,CL,1675830029
169,lasa,46.6166,10.7002,-5.54,-6.47,34,0.53,IT,1675829766
170,sao gabriel da cachoeira,-0.1303,-67.0892,22.48,22.48,100,0.41,BR,1675829729
171,moose factory,51.2585,-80.6094,-17.0,-17.01,0,4.63,CA,1675830001
172,fortuna,40.5982,-124.1573,9.51,7.19,100,2.57,US,1675829765
173,tankhoy,51.5528,105.1306,-8.32,-8.32,13,0.85,RU,1675830110
174,vardo,70.3705,31.1107,-0.01,-0.01,19,5.14,NO,1675829987
175,yantal,56.8471,105.2542,-9.66,-9.66,100,2.28,RU,1675830110
